iteration,loss,n_evals_per_iter,cumulative_evals,param_displacement_norm,gradient_spread,iteration_classification,spearman_correlation_vs_iter1
221,0.6186516092513732,211,46851,0.0053023015102982,10225.412805096952,plateau,0.6493409309572942
222,0.6196466581696236,211,47063,0.0055344897089903,6344.447213558875,plateau,0.9097614782324186
223,0.6169025207525395,211,47275,0.0070780311078762,35413.354741062074,progress,0.7405176016300985
224,0.6390548987329824,211,47487,0.0082006927226284,26239.71696997014,plateau,0.8961660938213694
225,0.6332318248408251,211,47699,0.0065763354991285,37467.7524029896,progress,0.797726543847771
226,0.627145169449599,211,47911,0.0062186430599763,14697.378850372726,progress,0.9434622748167272
227,0.6091429362795122,211,48123,0.0053049443002188,38172.92086294093,progress,0.8180483522464066
228,0.6213198219177637,211,48335,0.0061241962721944,33283.82940884711,plateau,0.7518285157097828
229,0.6135817638175798,211,48547,0.0157281832067286,58050.49266567919,progress,0.5117893829792058
230,0.6345991816557016,211,48759,0.0165349434753178,35954.43047688525,plateau,0.8188413731441918
231,0.6170164903753595,211,48971,0.0050129704475941,12879.670201496589,progress,0.8271033032819013
232,0.6132021550657328,211,49183,0.0036136693135429,31177.848328472526,progress,0.8954961725727503
233,0.6146456834067937,211,49395,0.0025797715377061,6774.480889536176,plateau,0.9344928456427584
234,0.6161772357487145,211,49607,0.0114153289626063,29984.475992525957,plateau,0.7007395697343315
235,0.6276650887645084,211,49819,0.0115700485774143,27685.055453114477,plateau,0.8483775142293475
236,0.6131474788835071,211,50031,0.0069827581411866,58333.13108952144,progress,0.7041591484095849
237,0.6058274147473819,211,50243,0.0075248493202927,13322.063480637054,progress,0.809374362230436
238,0.6146414015535175,211,50455,0.0178832741227878,94078.25719842737,plateau,0.5700686442517323
239,0.6163642206131785,211,50667,0.0174625146272551,19631.683573098457,plateau,0.6870159025309935
240,0.6310297217769641,211,50879,0.0035797243689031,39590.668165620045,plateau,0.8236759498919639
241,0.6195887571309339,211,51091,0.0041678694210851,8383.594187201827,progress,0.7030719841395819
242,0.6113088718586291,211,51303,0.0073755855708632,15059.86269350813,progress,0.7999773237488378
243,0.6042705574153778,211,51515,0.0058504852615546,41681.37229854874,progress,0.7657245224219532
244,0.6121761165911113,211,51727,0.0054210256244797,33695.191077301024,plateau,0.8286595420045159
245,0.6153822851539853,211,51939,0.003764341655279,4908.418572427047,plateau,0.8344154224423618
246,0.6155795507018477,211,52151,0.0106603342655832,36483.85594569309,plateau,0.563193204899366
