seed,method,n_params,budget,best_loss,fill_kind,is_approx,confidence,run_total_evals,run_final_loss,stop_reason,approx_run
2,GPU-CMAES,2,750,7.073639572453128,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,1000,7.0732179789430205,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,1500,7.072375294679764,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,2000,7.071533280315026,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,3000,7.06985125915136,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,5000,7.066495232202772,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,7500,7.0623151836005515,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,10000,7.058151723416589,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,15000,7.049874305241796,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,3,100,7.304666179957823,observed,False,1.0,600,7.230556475781328,Stop A (normal convergence): rel_imp flat 13 iters (≥10) AND contraction_ratio=0.0803 < 0.1,False
2,GPU-CMAES,3,250,7.241291624287034,observed,False,1.0,600,7.230556475781328,Stop A (normal convergence): rel_imp flat 13 iters (≥10) AND contraction_ratio=0.0803 < 0.1,False
2,GPU-CMAES,3,500,7.230556475781328,observed,False,1.0,600,7.230556475781328,Stop A (normal convergence): rel_imp flat 13 iters (≥10) AND contraction_ratio=0.0803 < 0.1,False
2,GPU-CMAES,3,750,7.2305056639796526,approx_hold_final,True,0.7,600,7.230556475781328,Stop A (normal convergence): rel_imp flat 13 iters (≥10) AND contraction_ratio=0.0803 < 0.1,False
2,GPU-CMAES,3,1000,7.230420982933448,approx_hold_final,True,0.7,600,7.230556475781328,Stop A (normal convergence): rel_imp flat 13 iters (≥10) AND contraction_ratio=0.0803 < 0.1,False
